user_supplied_name,submitted_name,data_source_title,score,matched_name2
Physcomitrium pyriforme,Physcomitrium pyriforme,Encyclopedia of Life,0.988,Physcomitrium pyriforme
Physcomitrium pyriforme,Physcomitrium pyriforme,Catalogue of Life Checklist,0.988,Physcomitrium pyriforme
Physcomitrium pyriforme,Physcomitrium pyriforme,Tropicos - Missouri Botanical Garden,0.988,Physcomitrium pyriforme
Brachytheciaceae,Brachytheciaceae,Catalogue of Life Checklist,0.75,Brachytheciaceae
Brachytheciaceae,Brachytheciaceae,Encyclopedia of Life,0.75,Brachytheciaceae
Brachytheciaceae,Brachytheciaceae,The International Plant Names Index,0.75,Brachytheciaceae
Brachytheciaceae,Brachytheciaceae,Tropicos - Missouri Botanical Garden,0.75,Brachytheciaceae
Bucklandiella,Bucklandiella,Encyclopedia of Life,0.75,Bucklandiella
Bucklandiella,Bucklandiella,Tropicos - Missouri Botanical Garden,0.75,Bucklandiella
Bucklandiella affinis,Bucklandiella affinis,Encyclopedia of Life,0.988,Bucklandiella affinis
Bucklandiella affinis,Bucklandiella affinis,Tropicos - Missouri Botanical Garden,0.988,Bucklandiella affinis
Bucklandiella heteroscticha,Bucklandiella heteroscticha,Encyclopedia of Life,0.75,Bucklandiella heterosticha
Bucklandiella heteroscticha,Bucklandiella heteroscticha,Tropicos - Missouri Botanical Garden,0.75,Bucklandiella heterosticha
Bucklandiella lawtoniae,Bucklandiella lawtoniae,Tropicos - Missouri Botanical Garden,0.988,Bucklandiella lawtoniae
Bucklandiella macounii,Bucklandiella macounii,Encyclopedia of Life,0.988,Bucklandiella macounii
Bucklandiella macounii,Bucklandiella macounii,Tropicos - Missouri Botanical Garden,0.988,Bucklandiella macounii
Bucklandiella microcarpa,Bucklandiella microcarpa,Encyclopedia of Life,0.988,Bucklandiella microcarpa
Bucklandiella microcarpa,Bucklandiella microcarpa,Tropicos - Missouri Botanical Garden,0.988,Bucklandiella microcarpa
Bucklandiella obesa,Bucklandiella obesa,Encyclopedia of Life,0.988,Bucklandiella obesa
Bucklandiella obesa,Bucklandiella obesa,Tropicos - Missouri Botanical Garden,0.988,Bucklandiella obesa
Bucklandiella occidentalis,Bucklandiella occidentalis,Encyclopedia of Life,0.988,Bucklandiella occidentalis
Bucklandiella occidentalis,Bucklandiella occidentalis,Tropicos - Missouri Botanical Garden,0.988,Bucklandiella occidentalis
Bucklandiella pacifica,Bucklandiella pacifica,Encyclopedia of Life,0.988,Bucklandiella pacifica
