Subfamily,Genus,Species,Subspecies,Author_Date,Arizona,California,BajaCalifornia,Colorado,NewMexico,Nevada,Sonora,Utah,GenSp,GenSpSp,TaxonomicLevelCode
Myrmicinae,Crematogaster,torosa,NA,"Mayr, 1870",1,0,0,0,0,0,1,0,Crematogaster torosa,NA,60
Myrmicinae,Crematogaster,vermiculata,NA,"Emery, 1895",1,0,1,0,1,1,0,0,Crematogaster vermiculata,NA,60
Myrmicinae,Crematogaster,vetusta,NA,"Ward & Blaimer, 2022",1,0,0,0,0,0,1,0,Crematogaster vetusta,NA,60
Myrmicinae,Cyphomyrmex,flavidus,NA,"Pergande, 1896",1,1,0,0,0,0,0,0,Cyphomyrmex flavidus,NA,60
Myrmicinae,Cyphomyrmex,wheeleri,NA,"Forel, 1900",1,1,0,0,0,0,0,0,Cyphomyrmex wheeleri,NA,60
Myrmicinae,Dolopomyrmex,pilatus,NA,"Cover & Deyrup, 2007",1,1,0,0,0,0,0,0,Dolopomyrmex pilatus,NA,60
Myrmicinae,Formicoxenus,diversipilosus,NA,"(Smith, 1939)",1,1,0,0,0,0,0,1,Formicoxenus diversipilosus,NA,60
Myrmicinae,Formicoxenus,hirticornis,NA,"(Emery, 1895)",1,0,0,1,1,0,0,1,Formicoxenus hirticornis,NA,60
Myrmicinae,Leptothorax,az01,NA,null,1,0,0,0,0,0,0,0,Leptothorax az01,NA,60
Myrmicinae,Leptothorax,az02,NA,null,1,0,0,0,0,0,0,0,Leptothorax az02,NA,60
Myrmicinae,Leptothorax,crassipilis,NA,"Wheeler, 1917",1,0,0,1,1,1,0,1,Leptothorax crassipilis,NA,60
Myrmicinae,Leptothorax,muscorum,NA,"(Nylander, 1846)",1,0,0,1,1,1,0,1,Leptothorax muscorum,NA,60
Myrmicinae,Monomorium,az01,NA,null,1,0,0,0,0,0,0,0,Monomorium az01,NA,60
Myrmicinae,Monomorium,az02,NA,null,1,0,0,0,0,0,0,0,Monomorium az02,NA,60
Myrmicinae,Monomorium,cyaneum,NA,"Wheeler, 1914",1,0,0,0,0,0,1,0,Monomorium cyaneum,NA,60
Myrmicinae,Monomorium,ergatogyna,NA,"Wheeler, 1904",1,1,0,0,0,1,0,1,Monomorium ergatogyna,NA,60
Myrmicinae,Monomorium,minimum,NA,"(Buckley, 1867)",1,0,0,1,1,1,1,1,Monomorium minimum,NA,60
Myrmicinae,Monomorium,viridum,NA,"Brown, 1943",1,0,0,1,1,1,1,1,Monomorium viridum,NA,60
Myrmicinae,Myrmecina,americana,NA,"Emery, 1895",1,1,0,1,1,0,0,0,Myrmecina americana,NA,60
Myrmicinae,Myrmica,az01,NA,null,1,0,0,0,0,0,0,0,Myrmica az01,NA,60
Myrmicinae,Myrmica,az02,NA,null,1,0,0,0,0,0,0,0,Myrmica az02,NA,60
Myrmicinae,Myrmica,az03,NA,null,1,0,0,0,0,0,0,0,Myrmica az03,NA,60
Myrmicinae,Myrmica,fracticornis,NA,"Forel, 1901",1,0,0,1,1,1,0,1,Myrmica fracticornis,NA,60
Myrmicinae,Myrmica,hamulata,NA,"Weber, 1939",1,0,0,1,1,0,0,1,Myrmica hamulata,NA,60
